20:08:24:798,1120,16205229,1.08,1.08,1.43,,,,,,,,,
20:08:24:801,1130,16207403,1.07,1.06,-6.79,,,,,,,,,
20:08:24:803,1140,16209618,1.04,1.02,-22.53,,,,,,,,,
20:08:24:806,1150,16211899,1.01,1.01,-5.84,,,,,,,,,
20:08:24:810,1160,16214226,1.01,1.01,-2.33,,,,,,,,,
20:08:24:812,1170,16216555,1.01,1,-8.02,,,,,,,,,
20:08:24:814,1180,16218903,0.99,0.98,-13.93,,,,,,,,,
20:08:24:817,1190,16221303,0.96,0.94,-16.39,,,,,,,,,
20:08:24:820,1200,16223787,0.94,0.93,-7.3,,,,,,,,,
20:08:24:822,1210,16226313,0.92,0.92,-1.78,,,,,,,,,
20:08:24:825,1220,16228864,0.91,0.91,-6.8,,,,,,,,,
20:08:24:828,1230,16231450,0.89,0.89,-4.8,,,,,,,,,
20:08:24:831,1240,16234086,0.88,0.88,-2.29,,,,,,,,,
20:08:24:833,1250,16236771,0.86,0.86,-3.63,,,,,,,,,
20:08:24:836,1260,16239503,0.85,0.85,-2.76,,,,,,,,,
20:08:24:839,1270,16242278,0.84,0.83,-7.26,,,,,,,,,
20:08:24:841,1280,16245092,0.83,0.84,7.96,,,,,,,,,
20:08:24:844,1290,16247894,0.84,0.83,-6.7,,,,,,,,,
20:08:24:847,1300,16250698,0.83,0.82,-11.38,,,,,,,,,
20:08:24:849,1310,16253560,0.81,0.8,-7.56,,,,,,,,,
20:08:24:852,1320,16256500,0.79,0.8,8.52,,,,,,,,,
20:08:24:855,1330,16259454,0.81,0.81,2.38,,,,,,,,,
20:08:24:857,1340,16262359,0.82,0.81,-3.67,,,,,,,,,
20:08:24:860,1350,16265244,0.82,0.81,-9.06,,,,,,,,,
20:08:24:863,1360,16268150,0.8,0.79,-4.57,,,,,,,,,
20:08:24:865,1370,16271107,0.79,0.79,0.56,,,,,,,,,
20:08:24:868,1380,16274075,0.79,0.79,1.68,,,,,,,,,
20:08:24:871,1390,16277045,0.78,0.77,-6.38,,,,,,,,,
20:08:24:873,1400,16280075,0.77,0.76,-4.04,,,,,,,,,
20:08:24:877,1410,16283144,0.78,0.79,10.81,,,,,,,,,
20:08:24:879,1420,16286129,0.82,0.83,8.99,,,,,,,,,
20:08:24:881,1430,16288958,0.84,0.84,-3.36,,,,,,,,,
20:08:24:884,1440,16291758,0.83,0.82,-8.78,,,,,,,,,
20:08:24:887,1450,16294627,0.81,0.8,-2.38,,,,,,,,,
20:08:24:889,1460,16297539,0.82,0.83,11.42,,,,,,,,,
20:08:24:892,1470,16300378,0.85,0.85,4.91,,,,,,,,,
20:08:24:895,1480,16303131,0.87,0.87,-0.73,,,,,,,,,
20:08:24:897,1490,16305846,0.86,0.86,0,,,,,,,,,
20:08:24:900,1500,16308582,0.86,0.87,3.66,,,,,,,,,
20:08:24:902,1510,16311295,0.88,0.89,13.41,,,,,,,,,
20:08:24:905,1520,16313938,0.9,0.91,5.88,,,,,,,,,
20:08:24:908,1530,16316529,0.92,0.92,3.51,,,,,,,,,
20:08:24:910,1540,16319086,0.93,0.92,-5.38,,,,,,,,,
20:08:24:913,1550,16321629,0.93,0.93,0,,,,,,,,,
20:08:24:916,1560,16324160,0.95,0.96,8.8,,,,,,,,,
20:08:24:918,1570,16326622,0.96,0.95,-7.97,,,,,,,,,
20:08:24:921,1580,16329082,0.94,0.93,-5.57,,,,,,,,,
20:08:24:924,1590,16331599,0.92,0.91,-12.98,,,,,,,,,
20:08:24:927,1600,16334185,0.87,0.84,-28.34,,,,,,,,,
20:08:24:929,1610,16336951,0.81,0.78,-21.1,,,,,,,,,
20:08:24:932,1620,16339920,0.75,0.72,-20.41,,,,,,,,,
20:08:24:935,1630,16343131,0.69,0.67,-19.15,,,,,,,,,
20:08:24:938,1640,16346622,0.62,0.59,-22.96,,,,,,,,,
20:08:24:940,1650,16350561,0.52,0.43,-45.78,,,,,,,,,
