20:07:54:089,1480,17282562,0.7,0.71,5.12,,,,,,,,,,,,,
20:07:54:091,1490,17285896,0.7,0.7,-5.04,,,,,,,,,,,,,
20:07:54:094,1500,17289273,0.68,0.67,-10.04,,,,,,,,,,,,,
20:07:54:097,1510,17292769,0.66,0.67,4,,,,,,,,,,,,,
20:07:54:099,1520,17296294,0.68,0.67,-2.76,,,,,,,,,,,,,
20:07:54:102,1530,17299786,0.66,0.65,-6.89,,,,,,,,,,,,,
20:07:54:105,1540,17303416,0.62,0.61,-7.51,,,,,,,,,,,,,
20:07:54:107,1550,17307232,0.61,0.62,2.88,,,,,,,,,,,,,
20:07:54:110,1560,17311067,0.6,0.59,-6.78,,,,,,,,,,,,,
20:07:54:113,1570,17315025,0.56,0.53,-15.41,,,,,,,,,,,,,
20:07:54:115,1580,17319399,0.5,0.49,-7.52,,,,,,,,,,,,,
