20:01:27:816,13113012,0.31
20:01:27:820,13117118,-0.58
20:01:27:823,13120222,0.29
20:01:27:826,13123321,0.78
20:01:27:829,13126485,0.36
20:01:27:833,13129546,-0.12
20:01:27:836,13132636,0.54
20:01:27:839,13135731,-0.11
20:01:27:842,13138805,0.38
20:01:27:845,13141822,0.36
20:01:27:848,13144864,-0.75
20:01:27:851,13147813,-0.35
20:01:27:854,13150783,-0.14
20:01:27:857,13153771,-0.67
20:01:27:860,13156717,-1.21
20:01:27:863,13159633,-0.3
20:01:27:866,13162563,0.03
20:01:27:869,13165520,-0.14
20:01:27:872,13168492,-0.47
20:01:27:874,13171472,-0.11
20:01:27:878,13174441,-0.11
20:01:27:880,13177447,-0.49
20:01:27:883,13180402,-0.16
20:01:27:886,13183311,0.29
20:01:27:889,13186262,-0.18
20:01:27:892,13189240,-0.25
20:01:27:895,13192216,-0.04
20:01:27:898,13195090,-0.1
20:01:27:901,13197973,-0.3
20:01:27:904,13200856,-0.36
20:01:27:907,13203703,-0.6
20:01:27:910,13207444,-0.15
20:01:27:913,13210273,-0.39
20:01:27:916,13213111,-0.52
20:01:27:919,13215980,-0.66
20:01:27:922,13218859,-1.09
20:01:27:925,13221767,-1.63
20:01:27:928,13224711,-1.51
20:01:27:931,13227647,-1.37
20:01:27:934,13230565,-1.65
20:01:27:937,13233490,-1.5
20:01:27:940,13236467,-1.85
20:01:27:943,13239517,-1.65
20:01:27:946,13242595,-1.16
20:01:27:949,13245724,-1.46
20:01:27:952,13248992,-1.8
20:01:27:955,13252333,-1.07
20:01:27:959,13255816,-1.63
20:01:27:962,13259446,-1.82
20:01:27:966,13263166,-1.91
20:01:27:970,13267159,-2.37
20:01:27:974,13271334,-2.09
20:01:27:979,13275602,-2.4
20:01:27:982,13278610,-2.16
20:01:27:985,13281869,-1.83
20:01:27:988,13285473,-2.49
20:01:27:992,13289412,-2.31
20:01:27:997,13293760,-3.15
20:01:28:002,13298617,-3.67
20:01:28:007,13303658,-3.38
20:01:28:010,13306609,-1.24
20:01:28:013,13309785,-1.07
20:01:28:016,13313049,-2.35
20:01:28:020,13316951,-2.91
20:01:28:025,13321984,-1.99
20:01:28:031,13327552,-2.38
20:01:28:038,13335113,-2.48
20:01:28:050,13346496,-0.96
20:01:28:155,13452313,0.46
20:01:28:167,13464128,0.98
20:01:28:177,13474282,0.4
20:01:28:185,13481795,0.01
20:01:28:191,13488484,0.29
20:01:28:198,13494948,1.01
20:01:28:204,13501047,-0.91
20:01:28:211,13508254,-0.96
20:01:28:218,13514579,0.02
20:01:28:225,13521954,0
20:01:28:233,13529522,-0.15
20:01:28:240,13536925,0.04
20:01:28:250,13546581,-0.25
20:01:28:261,13557673,-0.86
20:01:28:283,13579684,-0.61
20:01:28:444,13741485,0.69
20:01:28:458,13755134,0.76
20:01:28:466,13763478,0.56
20:01:28:474,13771046,0.62
20:01:28:481,13777764,0.5
20:01:28:488,13784652,0.68
20:01:28:495,13791699,-0.28
20:01:28:501,13798207,0.21
20:01:28:508,13804875,0.56
20:01:28:514,13811391,-0.55
20:01:28:522,13819484,-0.82
20:01:28:530,13826587,-0.77
20:01:28:538,13834819,0.23
20:01:28:546,13843417,-0.34
20:01:28:556,13853243,0.09
20:01:28:574,13871043,-1.44
20:01:28:661,13957928,1.4
20:01:28:683,13980402,0.52
20:01:28:698,13995149,0.22
20:01:28:708,14004801,0.5
20:01:28:717,14014219,0.44
20:01:28:727,14024302,-0.02
20:01:28:737,14034275,-0.1
20:01:28:747,14043987,-0.13
20:01:28:759,14055599,-0.54
20:01:28:774,14071097,-0.31
20:01:30:632,15929252,0.91
20:01:30:640,15937413,1.04
20:01:30:647,15944490,0.71
20:01:30:653,15950434,0.3
20:01:30:659,15956228,-0.04
20:01:30:665,15961839,-0.07
20:01:30:671,15967981,-0.61
20:01:30:677,15974395,-0.59
20:01:30:684,15981311,-0.52
20:01:30:692,15989402,-0.47
20:01:30:703,15999819,-0.26
20:01:30:893,16189791,0.11
20:01:30:905,16202431,0.1
20:01:30:916,16213222,0.27
20:01:30:927,16223848,-0.05
20:01:30:939,16235690,-0.1
20:01:30:955,16251699,-0.66
20:01:31:149,16446611,-0.02
20:01:31:179,16475963,-0.01
20:01:31:213,16510460,0.02
20:01:31:245,16541935,0.71
20:01:31:258,16555416,1.28
20:01:31:267,16564034,1.76
20:01:31:273,16570564,2.52
20:01:31:279,16575934,2.79
20:01:31:283,16580136,2.82
20:01:31:287,16583793,2.86
20:01:31:290,16587090,2.94
20:01:31:293,16590086,3.32
20:01:31:298,16595496,4.03
20:01:31:303,16600235,4.57
20:01:31:307,16604342,5.06
20:01:31:311,16607928,4.83
20:01:31:314,16611348,5.13
20:01:31:317,16614433,5.95
20:01:31:321,16618556,4.58
20:01:31:325,16622393,5.06
20:01:31:329,16626048,5.67
20:01:31:332,16629266,5.46
20:01:31:335,16632374,5.4
20:01:31:338,16635506,5.31
20:01:31:341,16638381,5.43
20:01:31:345,16642195,5.69
20:01:31:348,16645624,5.4
20:01:31:352,16648875,5.58
20:01:31:355,16651979,5.75
20:01:31:358,16654951,5.79
20:01:31:361,16657792,6.22
20:01:31:364,16661189,6.32
20:01:31:367,16664427,5.88
20:01:31:370,16667501,6.35
20:01:31:374,16670498,6.13
20:01:31:377,16673893,6.11
20:01:31:380,16677219,6.3
20:01:31:383,16680532,6.22
20:01:31:386,16683712,5.86
20:01:31:389,16686689,5.71
20:01:31:392,16689612,5.16
20:01:31:395,16692482,5.51
20:01:31:398,16695712,5.18
20:01:31:402,16698869,5.6
20:01:31:405,16701981,5.91
20:01:31:408,16705000,6.69
20:01:31:411,16707941,6.39
20:01:31:414,16710813,5.4
20:01:31:417,16713990,4.39
20:01:31:420,16717061,4.55
20:01:31:423,16720062,5.56
20:01:31:426,16722973,6.75
20:01:31:429,16725801,5.75
20:01:31:432,16728872,4.2
20:01:31:435,16731873,4.2
20:01:31:437,16734801,4.5
20:01:31:440,16737654,5.46
20:01:31:443,16740725,4.86
20:01:31:446,16743698,4.29
20:01:31:449,16746549,3.44
20:01:31:452,16749558,3.11
20:01:31:455,16752479,3.33
20:01:31:458,16755299,3.41
20:01:31:461,16758309,3.4
20:01:31:464,16761202,2.58
20:01:31:467,16764019,2.14
20:01:31:470,16766981,1.84
20:01:31:473,16769893,2.16
20:01:31:475,16772782,3.46
20:01:31:478,16775681,3.95
20:01:31:481,16778593,3.06
20:01:31:484,16781509,1.82
20:01:31:487,16784384,2.06
20:01:31:490,16787252,2.74
20:01:31:493,16790104,3.34
20:01:31:496,16793127,3.64
20:01:31:499,16796096,3.84
20:01:31:502,16799751,2.4
20:01:31:505,16802637,2
20:01:31:508,16805585,2.8
20:01:31:511,16808537,3.61
20:01:31:514,16811489,3.09
20:01:31:517,16814296,3.27
20:01:31:520,16817182,3.15
20:01:31:523,16820090,2.66
20:01:31:526,16823032,2.45
20:01:31:529,16826022,3.27
20:01:31:532,16829058,3.97
20:01:31:535,16831896,3.73
20:01:31:537,16834741,3.62
20:01:31:540,16837592,3.2
20:01:31:543,16840645,2.74
20:01:31:546,16843646,1.64
20:01:31:549,16846611,2.11
20:01:31:552,16849516,-1.25
20:01:31:555,16852349,0.87
20:01:31:558,16855219,2.19
20:01:31:561,16858151,5.7
20:01:31:564,16861067,3.96
20:01:31:567,16864099,0.45
20:01:31:570,16867028,1.27
20:01:31:573,16869965,1.32
20:01:31:576,16872899,0.85
20:01:31:578,16875742,2.26
20:01:31:581,16878674,4.52
20:01:31:584,16881554,3.31
20:01:31:587,16884392,3.02
20:01:31:590,16887352,1.01
20:01:31:593,16890198,2.31
20:01:31:596,16893138,0.37
20:01:31:599,16895985,0.87
20:01:31:602,16898886,1.34
20:01:31:605,16901859,1.94
20:01:31:607,16904760,0.69
20:01:31:610,16907610,-0.29
20:01:31:613,16910572,0.77
20:01:31:616,16913422,0.57
20:01:31:619,16916364,0.82
20:01:31:622,16919319,0.04
20:01:31:625,16922245,-0.55
20:01:31:628,16925194,-1.15
20:01:31:631,16928102,-0.48
20:01:31:634,16930948,-0.18
20:01:31:637,16933884,-0.6
20:01:31:640,16936904,-0.55
20:01:31:643,16939823,-0.53
20:01:31:646,16942834,-2.24
20:01:31:648,16945722,-2.22
20:01:31:651,16948683,-2.89
20:01:31:654,16951724,-3.07
20:01:31:657,16954588,-3.22
20:01:31:660,16957522,-3.63
