encoder_times,encoder_accel,encoder_vel,acelerometer_times,acelerometer_accel
,,,24597394.0,-1.21
,,,24604576.0,-0.16
,,,24611028.0,-0.49
,,,24618654.0,-0.28
,,,24627199.0,-0.46
,,,24637104.0,-0.15
,,,24649055.0,-0.29
,,,24660744.0,-2.3
,,,24670296.0,0.11
,,,24677650.0,-0.08
,,,24686205.0,-0.43
,,,24693082.0,0.11
,,,24699340.0,-0.13
,,,24705431.0,-0.59
,,,24711664.0,-0.62
,,,24718010.0,-0.67
,,,24723816.0,-0.88
,,,24729520.0,-0.81
,,,24736029.0,-0.04
,,,24741717.0,-0.37
,,,24748470.0,-0.35
,,,24755095.0,0.13
,,,24761087.0,-0.24
,,,24767969.0,-2.1
,,,24774922.0,-0.8
,,,24782622.0,-0.22
,,,24790145.0,0.4
,,,24796940.0,-1.61
,,,24805302.0,0.32
,,,24811949.0,-0.37
,,,24819493.0,-0.67
,,,24825977.0,-0.67
,,,24832902.0,-0.56
,,,24840246.0,-0.16
,,,24846429.0,-0.71
,,,24852635.0,-0.5
,,,24858231.0,-0.44
,,,24864278.0,-0.72
,,,24870764.0,-0.44
,,,24878087.0,-0.35
,,,24885105.0,-0.73
,,,24895055.0,-0.31
,,,24906643.0,0.29
,,,24918320.0,-0.24
,,,24930390.0,-0.41
,,,24939922.0,-0.7
,,,24949616.0,-0.72
,,,24958852.0,-0.28
,,,24968773.0,-0.7
,,,24978373.0,-0.67
,,,24988987.0,-0.61
,,,24999872.0,-0.61
,,,25013176.0,-0.25
,,,25025396.0,-0.5
,,,25037479.0,-0.72
,,,25050555.0,-1.33
,,,25064114.0,1.42
,,,25076407.0,-1.0
,,,25093688.0,-0.83
,,,25111949.0,-1.06
,,,25128744.0,-0.91
,,,25143026.0,-0.35
,,,25158367.0,-0.52
,,,25177194.0,-0.53
,,,25197987.0,-0.56
,,,25221125.0,-0.56
,,,25243543.0,-0.52
,,,25266205.0,-0.62
,,,25306122.0,-0.54
,,,27715034.0,-0.48
,,,27794235.0,-0.5
,,,27863561.0,-0.51
,,,27928969.0,-0.54
,,,27990779.0,-0.59
,,,28057287.0,-0.54
,,,28121843.0,-0.54
,,,28184352.0,-0.49
,,,28256043.0,-0.53
,,,28340137.0,-0.58
,,,28441752.0,-0.54
,,,28690432.0,-0.52
