time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:39:6360,-0.0118,0.0234,-0.1619,0.164
19:40:39:6400,0.0156,0.1448,-0.4744,0.496
19:40:39:6610,0.0156,0.1448,-0.4744,0.496
19:40:39:6610,0.0156,0.1448,-0.4744,0.496
19:40:39:6620,0.0156,0.1448,-0.4744,0.496
19:40:39:6620,0.0156,0.1417,-0.4859,0.506
19:40:39:6650,0.0156,0.1417,-0.4859,0.506
19:40:39:6700,0.0156,0.1417,-0.4859,0.506
19:40:39:6750,0.0156,0.1417,-0.4859,0.506
19:40:39:6800,-0.0252,0.2043,-0.0736,0.219
19:40:39:6850,-0.0252,0.2043,-0.0736,0.219
19:40:39:6899,-0.0252,0.2043,-0.0736,0.219
19:40:39:6949,-0.0252,0.2043,-0.0736,0.219
19:40:39:7000,-0.0252,-0.3052,0.0391,0.309
19:40:39:7050,-0.0252,-0.3052,0.0391,0.309
19:40:39:7120,-0.0252,-0.3052,0.0391,0.309
19:40:39:7150,-0.0252,-0.3052,0.0391,0.309
19:40:39:7200,-0.1202,-0.3751,1.6339,1.681
19:40:39:7240,-0.1202,-0.3751,1.6339,1.681
19:40:39:7290,-0.1202,-0.3751,1.6339,1.681
19:40:39:7350,-0.1202,-0.3751,1.6339,1.681
19:40:39:7390,-0.1202,-0.3751,1.6339,1.681
19:40:39:7450,0.2749,-0.3753,-0.2456,0.526
19:40:39:7490,0.2749,-0.3753,-0.2456,0.526
19:40:39:7540,0.2749,-0.3753,-0.2456,0.526
19:40:39:7590,0.2749,-0.3753,-0.2456,0.526
19:40:39:7640,0.0163,0.4544,-1.2799,1.358
19:40:39:7690,0.0163,0.4544,-1.2799,1.358
19:40:39:7740,0.0163,0.4544,-1.2799,1.358
19:40:39:7790,0.0163,0.4544,-1.2799,1.358
19:40:39:7840,-0.0518,0.7089,-1.4813,1.643
19:40:39:7890,-0.0518,0.7089,-1.4813,1.643
19:40:39:8090,-0.0518,0.7089,-1.4813,1.643
19:40:39:8100,-0.0518,0.7089,-1.4813,1.643
19:40:39:8100,0.2203,0.3052,-1.7070,1.748
19:40:39:8110,0.2203,0.3052,-1.7070,1.748
19:40:39:8129,0.2203,0.3052,-1.7070,1.748
19:40:39:8179,0.2203,0.3052,-1.7070,1.748
