time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:38:10:6030,0.0023,-0.0561,-0.0836,0.101
19:38:10:6080,-0.0115,-0.0693,-0.0703,0.099
19:38:10:6130,-0.0115,-0.0693,-0.0703,0.099
19:38:10:6180,-0.0115,-0.0693,-0.0703,0.099
19:38:10:6220,-0.0115,-0.0693,-0.0703,0.099
19:38:10:6280,0.0019,-0.0825,-0.0571,0.100
19:38:10:6330,0.0019,-0.0825,-0.0571,0.100
19:38:10:6380,0.0019,-0.0825,-0.0571,0.100
19:38:10:6450,0.0019,-0.0825,-0.0571,0.100
19:38:10:6480,0.0017,-0.0820,-0.0576,0.100
19:38:10:6530,0.0017,-0.0820,-0.0576,0.100
19:38:10:6590,0.0017,-0.0820,-0.0576,0.100
19:38:10:6770,0.0017,-0.0820,-0.0576,0.100
19:38:10:6770,0.0015,-0.0678,-0.0717,0.099
19:38:10:6780,0.0015,-0.0678,-0.0717,0.099
19:38:10:6780,0.0015,-0.0678,-0.0717,0.099
19:38:10:6840,0.0015,-0.0678,-0.0717,0.099
19:38:10:6870,0.0015,-0.0678,-0.0717,0.099
19:38:10:6919,0.0013,-0.0537,-0.0722,0.090
19:38:10:6959,0.0013,-0.0537,-0.0722,0.090
19:38:10:7010,0.0013,-0.0537,-0.0722,0.090
19:38:10:7060,0.0013,-0.0537,-0.0722,0.090
19:38:10:7120,0.0011,-0.0941,-0.0590,0.111
19:38:10:7170,0.0011,-0.0941,-0.0590,0.111
19:38:10:7210,0.0011,-0.0941,-0.0590,0.111
19:38:10:7280,0.0011,-0.0941,-0.0590,0.111
19:38:10:7310,0.0008,-0.0529,-0.0730,0.090
19:38:10:7370,0.0008,-0.0529,-0.0730,0.090
19:38:10:7410,0.0008,-0.0529,-0.0730,0.090
19:38:10:7470,0.0008,-0.0529,-0.0730,0.090
19:38:10:7520,0.0006,-0.0526,-0.0733,0.090
19:38:10:7560,0.0006,-0.0526,-0.0733,0.090
19:38:10:7700,0.0006,-0.0526,-0.0733,0.090
19:38:10:7710,0.0006,-0.0526,-0.0733,0.090
19:38:10:7710,0.0140,-0.0659,-0.0463,0.082
19:38:10:7800,0.0140,-0.0659,-0.0463,0.082
19:38:10:7810,0.0140,-0.0659,-0.0463,0.082
19:38:10:7860,0.0140,-0.0659,-0.0463,0.082
19:38:10:7910,0.0001,-0.0929,-0.0465,0.104
19:38:10:7960,0.0001,-0.0929,-0.0465,0.104
19:38:10:8000,0.0001,-0.0929,-0.0465,0.104
19:38:10:8060,0.0001,-0.0929,-0.0465,0.104
19:38:10:8110,-0.0274,-0.0655,-0.0603,0.093
19:38:10:8149,-0.0274,-0.0655,-0.0603,0.093
19:38:10:8210,-0.0274,-0.0655,-0.0603,0.093
19:38:10:8290,-0.0274,-0.0655,-0.0603,0.093
19:38:10:8320,-0.0003,-0.0653,-0.0877,0.109
19:38:10:8350,-0.0003,-0.0653,-0.0877,0.109
19:38:10:8400,-0.0003,-0.0653,-0.0877,0.109
19:38:10:8450,-0.0003,-0.0653,-0.0877,0.109
19:38:10:8500,-0.0004,-0.0788,-0.0743,0.108
19:38:10:8550,-0.0004,-0.0788,-0.0743,0.108
19:38:10:8760,-0.0004,-0.0788,-0.0743,0.108
19:38:10:8760,-0.0004,-0.0788,-0.0743,0.108
19:38:10:8760,-0.0006,-0.0650,-0.0608,0.089
19:38:10:8770,-0.0006,-0.0650,-0.0608,0.089
19:38:10:8800,-0.0006,-0.0650,-0.0608,0.089
19:38:10:8850,-0.0006,-0.0650,-0.0608,0.089
19:38:10:8890,-0.0142,-0.0650,-0.0472,0.082
19:38:10:8940,-0.0142,-0.0650,-0.0472,0.082
19:38:10:9000,-0.0142,-0.0650,-0.0472,0.082
19:38:10:9050,-0.0142,-0.0650,-0.0472,0.082
19:38:10:9100,-0.0142,-0.0648,-0.0610,0.090
19:38:10:9140,-0.0142,-0.0648,-0.0610,0.090
19:38:10:9190,-0.0142,-0.0648,-0.0610,0.090
19:38:10:9240,-0.0142,-0.0648,-0.0610,0.090
19:38:10:9290,-0.0141,-0.0782,-0.0748,0.109
19:38:10:9340,-0.0141,-0.0782,-0.0748,0.109
19:38:10:9390,-0.0141,-0.0782,-0.0748,0.109
19:38:10:9570,-0.0141,-0.0782,-0.0748,0.109
19:38:10:9580,-0.0004,-0.0644,-0.0613,0.089
19:38:10:9580,-0.0004,-0.0644,-0.0613,0.089
19:38:10:9590,-0.0004,-0.0644,-0.0613,0.089
19:38:10:9630,-0.0004,-0.0644,-0.0613,0.089
19:38:10:9680,-0.0002,-0.0506,-0.0615,0.080
19:38:10:9730,-0.0002,-0.0506,-0.0615,0.080
19:38:10:9780,-0.0002,-0.0506,-0.0615,0.080
19:38:10:9830,-0.0002,-0.0506,-0.0615,0.080
19:38:10:9880,0.0000,-0.0640,-0.0754,0.099
19:38:10:9930,0.0000,-0.0640,-0.0754,0.099
19:38:10:9980,0.0000,-0.0640,-0.0754,0.099
19:38:11:0030,0.0000,-0.0640,-0.0754,0.099
19:38:11:0100,-0.0133,-0.0775,-0.0756,0.109
19:38:11:0130,-0.0133,-0.0775,-0.0756,0.109
19:38:11:0180,-0.0133,-0.0775,-0.0756,0.109
19:38:11:0220,-0.0133,-0.0775,-0.0756,0.109
19:38:11:0280,0.0007,-0.0637,-0.0621,0.089
19:38:11:0330,0.0007,-0.0637,-0.0621,0.089
19:38:11:0380,0.0007,-0.0637,-0.0621,0.089
19:38:11:0570,0.0007,-0.0637,-0.0621,0.089
19:38:11:0580,0.0009,-0.0500,-0.0758,0.091
19:38:11:0580,0.0009,-0.0500,-0.0758,0.091
19:38:11:0590,0.0009,-0.0500,-0.0758,0.091
19:38:11:0620,0.0009,-0.0500,-0.0758,0.091
19:38:11:0670,0.0009,-0.0500,-0.0758,0.091
19:38:11:0720,-0.0125,-0.0635,-0.0895,0.110
19:38:11:0770,-0.0125,-0.0635,-0.0895,0.110
19:38:11:0820,-0.0125,-0.0635,-0.0895,0.110
19:38:11:0869,-0.0125,-0.0635,-0.0895,0.110
19:38:11:0920,0.0013,-0.0499,-0.0759,0.091
19:38:11:0970,0.0013,-0.0499,-0.0759,0.091
19:38:11:1019,0.0013,-0.0499,-0.0759,0.091
19:38:11:1070,0.0013,-0.0499,-0.0759,0.091
19:38:11:1120,-0.0121,-0.0636,-0.0758,0.100
19:38:11:1160,-0.0121,-0.0636,-0.0758,0.100
19:38:11:1210,-0.0121,-0.0636,-0.0758,0.100
19:38:11:1270,-0.0121,-0.0636,-0.0758,0.100
19:38:11:1320,0.0017,-0.0773,-0.0621,0.099
19:38:11:1360,0.0017,-0.0773,-0.0621,0.099
19:38:11:1429,0.0017,-0.0773,-0.0621,0.099
19:38:11:1460,0.0017,-0.0773,-0.0621,0.099
19:38:11:1510,-0.0254,-0.0503,-0.0755,0.094
19:38:11:1560,-0.0254,-0.0503,-0.0755,0.094
19:38:11:1729,-0.0254,-0.0503,-0.0755,0.094
19:38:11:1739,-0.0254,-0.0503,-0.0755,0.094
19:38:11:1750,0.0020,-0.0643,-0.0752,0.099
19:38:11:1780,0.0020,-0.0643,-0.0752,0.099
19:38:11:1810,0.0020,-0.0643,-0.0752,0.099
19:38:11:1860,0.0020,-0.0643,-0.0752,0.099
19:38:11:1900,-0.0251,-0.0646,-0.0612,0.092
19:38:11:1960,-0.0251,-0.0646,-0.0612,0.092
19:38:11:2000,-0.0251,-0.0646,-0.0612,0.092
19:38:11:2050,-0.0251,-0.0646,-0.0612,0.092
19:38:11:2100,0.0023,-0.0650,-0.0881,0.110
19:38:11:2150,0.0023,-0.0650,-0.0881,0.110
19:38:11:2210,0.0023,-0.0650,-0.0881,0.110
19:38:11:2260,0.0023,-0.0650,-0.0881,0.110
19:38:11:2300,0.0025,-0.0653,-0.0606,0.089
19:38:11:2350,0.0025,-0.0653,-0.0606,0.089
19:38:11:2400,0.0025,-0.0653,-0.0606,0.089
19:38:11:2450,0.0025,-0.0653,-0.0606,0.089
19:38:11:2500,0.0025,-0.0653,-0.0742,0.099
19:38:11:2550,0.0025,-0.0653,-0.0742,0.099
19:38:11:2740,0.0025,-0.0653,-0.0742,0.099
19:38:11:2740,0.0025,-0.0653,-0.0742,0.099
19:38:11:2750,-0.0245,-0.0657,-0.0603,0.092
19:38:11:2750,-0.0245,-0.0657,-0.0603,0.092
